"","STREET_ID","left_begin","left_end","right_begin","right_end","STREET","longitude","latitude","scaled_Count_Less1"
"1",13018186,81,87,80,86,"SB WEST ST FROM FRANKLIN ST RAMP",-76.1569058372749,43.0547064836643,8.40659340659341
"2",13018182,81,81,80,80,"SB WEST ST FROM WB I 690 RAMP",-76.1568999340662,43.0546538228701,8.50549450549451
"3",13018662,85,85,84,84,"SB WEST ST FROM WB I 690 RAMP",-76.1572214435073,43.0546729122755,8.50549450549451
"4",13020319,201,299,200,298,"VELASKO RD",-76.1880834098691,43.035272526849,1.97802197802198
"5",13020320,151,151,150,150,"VELASKO RD",-76.1882250045636,43.0356507212309,2.37362637362637
"6",13008668,81,81,80,80,"LIVERPOOL FROM NB I 81 RAMP",-76.1730611568667,43.0753717478531,2.07692307692308
"7",13001238,1,9,2,10,"ONONDAGA LAKE PKWY FROM I 81 RAMP",-76.1730611568667,43.0753717478531,2.07692307692308
"8",13018661,8299,8299,8298,8298,"SB I 81",-76.1405163316212,43.0195764297747,1.97802197802198
"9",13017594,301,301,300,300,"DRISCOLL AVE",-76.1974718868014,43.0528125349445,1.18681318681319
"10",13012401,285,299,286,298,"ROSS PARK",-76.1470505038298,43.0772004241493,3.26373626373626
"11",13018802,401,499,400,498,"SMALL RD",-76.1169213518556,43.0211291493741,0.791208791208791
"12",13018556,8339,8339,8338,8338,"SB I 81",-76.1403385168534,43.0264458567204,2.96703296703297
"13",13018557,35,39,34,38,"NB I 81 TO EB I 690",-76.1411953356846,43.0513363415074,7.61538461538461
"14",12580638,501,525,500,524,"WADSWORTH ST",-76.1392364151493,43.0749492455121,3.65934065934066
"15",13018553,61,63,60,62,"WB I 690 TO SB I 81",-76.1419587376978,43.0515519985644,7.71428571428571
"16",13012553,51,59,50,58,"WB I 690 TO SB I 81",-76.1407695507519,43.0516261549323,7.41758241758242
"17",12571847,817,829,816,824,"GLENWOOD AVE",-76.172467324934,43.0195196088232,0.989010989010989
"18",13012400,527,599,526,598,"WADSWORTH ST",-76.1392939216454,43.0756910562056,3.56043956043956
"19",13013095,831,899,826,898,"GLENWOOD AVE",-76.1732409385549,43.0194614585381,1.08791208791209
"20",13013096,0,0,318,398,"STRATHMORE DR",-76.1734713907344,43.0197685912229,1.08791208791209
"21",12571850,301,315,300,316,"STRATHMORE DR",-76.1725373948171,43.0210170001175,1.08791208791209
