"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"1","Aggravated assault","200  Hoefler St","12/31/2016",200,"HOEFLER ST","200  HOEFLER ST ",-76.1796829620794,43.0363944879319
"2","Aggravated assault","600  Park St","12/31/2016",600,"PARK ST","600  PARK ST ",-76.1414841925628,43.0629898118311
"3","Burglary","100  Colby Av","12/31/2016",100,"COLBY AVE","100  COLBY AV ",-76.1029713619944,43.0709385209468
"4","Larceny","0  Destiny Usa Dr","12/31/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"5","Larceny","3400  James St","12/31/2016",3400,"JAMES ST","3400  JAMES ST ",-76.1000964449312,43.069143831812
"6","Aggravated assault","100  Wood Av","12/30/2016",100,"WOOD AVE","100  WOOD AV ",-76.1455627801724,43.0261215642639
"7","Aggravated assault","1100  N  Salina St","12/30/2016",1100,"N SALINA ST","1100  N  SALINA ST ",-76.1566874705681,43.064861349553
"8","Aggravated assault","1600  W  Onondaga St","12/30/2016",1600,"W ONONDAGA ST","1600  W  ONONDAGA ST ",-76.1794938380764,43.0337788023408
"9","Burglary","100  Bassett St","12/30/2016",100,"BASSETT ST","100  BASSETT ST ",-76.1225009674348,43.0465059958789
"10","Burglary","100  Rosewood St","12/30/2016",100,"ROSEWOOD ST","100  ROSEWOOD ST ",-76.1425582247172,43.0588969912066
"11","Burglary","500  State Fair Blvd","12/30/2016",500,"STATE FAIR BLVD","500  STATE FAIR BLVD ",-76.1806684074345,43.0590282101029
"12","Burglary","600  Butternut St","12/30/2016",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
"13","Larceny","0  Destiny Usa Dr","12/30/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"14","Larceny","0  Destiny Usa Dr","12/30/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"15","Larceny","100  Herkimer St","12/30/2016",100,"HERKIMER ST","100  HERKIMER ST ",-76.1886000217457,43.0546666638086
"16","Larceny","1800  Lodi St","12/30/2016",1800,"LODI ST","1800  LODI ST ",-76.1511220469699,43.0621216106901
"17","Larceny","2400  James St","12/30/2016",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"18","Larceny","400  S  Alvord St","12/30/2016",400,"S ALVORD ST","400  S  ALVORD ST ",-76.1448984978689,43.0616807267208
